Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.35,-0.5,-.22,-.29,-.05,-.15,-.16,-.23,-.21,-.30,-.40,-.39,-.27,***,***,-.19,-.18,-.30
1881,-0.3,-0.21,-.03,.01,.04,-.32,.09,-.03,-.26,-.43,-.36,-.22,-.17,-.18,-.30,.01,-.09,-.35
1882,0.27,0.22,.03,-.31,-.24,-.29,-.27,-.14,-.23,-.51,-.32,-.68,-.21,-.17,.09,-.17,-.23,-.36
1883,-0.57,-0.66,-.15,-.30,-.25,-.11,-.05,-.22,-.33,-.16,-.44,-.15,-.28,-.33,-.64,-.23,-.12,-.31
1884,-0.16,-0.1,-.64,-.59,-.36,-.41,-.44,-.50,-.44,-.44,-.57,-.47,-.43,-.40,-.14,-.53,-.45,-.48
1885,-1.01,-0.45,-.23,-.49,-.58,-.44,-.34,-.41,-.39,-.36,-.38,-.11,-.43,-.46,-.64,-.43,-.39,-.38
1886,-0.74,-0.83,-.71,-.37,-.33,-.37,-.14,-.43,-.33,-.31,-.39,-.21,-.43,-.42,-.56,-.47,-.31,-.34
1887,-1.07,-0.7,-.43,-.38,-.25,-.20,-.24,-.54,-.20,-.48,-.27,-.43,-.43,-.41,-.66,-.35,-.33,-.32
1888,-0.48,-0.61,-.64,-.21,-.15,-.02,.00,-.21,-.19,-.03,-.01,-.23,-.23,-.25,-.51,-.33,-.08,-.08
1889,-0.28,0.29,-.01,.17,-.03,-.06,-.08,-.20,-.30,-.41,-.61,-.54,-.17,-.14,-.07,.04,-.11,-.44
1890,-0.63,-0.57,-.46,-.24,-.35,-.15,-.23,-.38,-.35,-.10,-.62,-.46,-.38,-.38,-.58,-.35,-.25,-.36
1891,-0.46,-0.68,-.16,-.35,-.15,-.12,-.12,-.12,-.07,-.27,-.52,-.04,-.26,-.29,-.53,-.22,-.12,-.29
1892,-0.49,-0.15,-.67,-.45,-.23,-.06,-.37,-.33,-.20,-.28,-.82,-.65,-.39,-.34,-.23,-.45,-.25,-.43
1893,-1.51,-0.97,-.32,-.29,-.43,-.19,-.14,-.34,-.29,-.28,-.34,-.60,-.47,-.48,-1.04,-.35,-.22,-.30
1894,-0.91,-0.42,-.21,-.54,-.26,-.40,-.20,-.26,-.32,-.27,-.47,-.35,-.39,-.41,-.64,-.34,-.29,-.36
1895,-0.69,-0.8,-.50,-.18,-.30,-.20,-.18,-.27,-.06,-.09,-.12,-.22,-.30,-.31,-.62,-.33,-.22,-.09
